time,open,high,low,close,ADX
1585983600,6726.5,6734.5,6718.5,6728,20.44815482971689
1585987200,6728,6775,6728,6775,23.424330455968903
1585990800,6775,6859.5,6741.5,6832.5,28.680547593995428
1585994400,6832.5,6887,6806,6874,29.07380558352619
1585998000,6874,6899,6646,6698,23.24036985435556
1586001600,6698,6725.5,6665.5,6705,22.107506051517387
1586005200,6705,6738,6688.5,6725,22.238058146771067
1586008800,6725,6730,6702,6710,21.689592471915784
1586012400,6710,6764.5,6706,6724,23.64984192992361
1586016000,6724,6790,6720.5,6781,24.47175410157948
1586019600,6781,6801.5,6755,6774.5,24.48302359032365
1586023200,6774.5,6799,6767,6770.5,23.719413157506633
1586026800,6770.5,6780,6723,6737.5,22.380401853768394
1586030400,6737.5,7012,6737.5,6821.5,36.452520095238214
1586034000,6821.5,6885,6821.5,6856,34.505738366193555
1586037600,6856,6869.5,6787.5,6849,32.120167535216495
1586041200,6849,6865,6820,6863.5,30.859297368450843
1586044800,6863.5,6889,6837,6854,31.571643718580155
1586048400,6854,6874,6840.5,6846,30.583394746248526
1586052000,6846,6847,6802,6837.5,29.25852262517476
1586055600,6837.5,6840.5,6789,6795.5,27.77555906691697
1586059200,6795.5,6795.5,6751,6781.5,26.524541421667397
1586062800,6781.5,6833,6764,6791.5,28.47075087357057
1586066400,6791.5,6791.5,6743,6774,27.03905736231032
1586070000,6774,6790,6756.5,6774,26.06410866161601
1586073600,6774,6795.5,6756,6777,25.532606090025038
1586077200,6777,6820,6763.5,6772,26.659112890080998
1586080800,6772,6786,6740,6756,25.25984238776576
1586084400,6756,6819,6752.5,6776,27.100376618284365
1586088000,6776,6793.5,6762,6788.5,26.094791473524957
1586091600,6788.5,6818.5,6779.5,6796,27.886563484053678
1586095200,6796,6796,6769,6778.5,26.939700934821666
1586098800,6778.5,6800.5,6762.5,6785.5,25.62115529917149
1586102400,6785.5,6791.5,6764,6781.5,24.67974938729484
1586106000,6781.5,6848,6680,6792,19.87521488507153
1586109600,6792,6814,6775,6792,18.95280474544246
1586113200,6792,6809.5,6783,6789.5,18.33029294077635
1586116800,6789.5,6790,6726.5,6752.5,16.898030122992687
1586120400,6752.5,6790,6720,6755.5,15.46361958444931
1586124000,6755.5,6807,6755,6794,16.559202709281873
1586127600,6794,6802,6769,6771,15.869515650808399
1586131200,6771,6874.5,6762,6866,22.311989767979163
1586134800,6866,6884.5,6828,6840,22.003240431331047
1586138400,6840,6845,6805,6824,20.934919131119216
1586142000,6824,6845,6824,6838,20.375587513014814
1586145600,6838,6957,6838,6935.5,30.71340269212962
1586149200,6935.5,6997,6914.5,6986,32.39722782798512
1586152800,6986,7095,6960,7068.5,38.14838150450941
1586156400,7068.5,7098.5,6959.5,7026,33.26958773562568
1586160000,7026,7076,7014.5,7036,31.231910635291733
1586163600,7036,7140,7031.5,7100,34.12492275663618
1586167200,7100,7140,7071.5,7077,31.86652344332058
1586170800,7077,7115,7067,7092,30.350751532752685
1586174400,7092,7158,7092,7128.5,32.64064433997269
1586178000,7128.5,7155,7039.5,7097.5,29.039516842911425
1586181600,7097.5,7115,7054.5,7096.5,27.338116787255675
1586185200,7096.5,7140,7084.5,7135.5,28.306942322619282
1586188800,7135.5,7178,7077,7140,29.20923071850218
1586192400,7140,7212,7132.5,7201.5,30.237817817761055
1586196000,7201.5,7246,7171.5,7235.5,31.333014176881463
1586199600,7235.5,7298,7219,7264.5,33.92368258834904
1586203200,7264.5,7282,7190,7215,31.00308419079961
1586206800,7215,7281.5,7200.5,7281.5,28.663294454212586
1586210400,7281.5,7282,7232.5,7261,27.354805310590187
1586214000,7261,7363,7236.5,7322.5,31.580727489998385
1586217600,7322.5,7448,7302.5,7365.5,34.93273847387834
1586221200,7365.5,7407.5,7335,7340,32.7385872433706
1586224800,7340,7369.5,7257,7305,29.628693012560312
1586228400,7305,7319.5,7261,7319.5,28.13219112016057
1586232000,7319.5,7319.5,7224,7247.5,25.83787256751008
1586235600,7247.5,7292.5,7240,7275.5,24.647811789301773
1586239200,7275.5,7296,7253,7295.5,24.003326195921368
1586242800,7295.5,7379.5,7294,7377,29.6858688846951
1586246400,7377,7378.5,7313.5,7357,27.922237118091026
1586250000,7357,7369.5,7333,7364,26.953862607915042
1586253600,7364,7436.5,7362,7420,31.414849765094353
1586257200,7420,7420,7360.5,7384,29.610870258655797
1586260800,7384,7458.5,7295.5,7333,25.321096038794966
1586264400,7333,7387.5,7333,7345.5,24.065714864904503
1586268000,7345.5,7348.5,7254,7278,22.02651888407857
1586271600,7278,7338,7277,7314,20.801247499495297
1586275200,7314,7379,7313.5,7361.5,23.327192391693888
1586278800,7361.5,7367,7317,7346,22.223049735872326
1586282400,7346,7349,7285,7300.5,20.861884329855926
1586286000,7300.5,7354.5,7281,7281,19.9197628938259
1586289600,7281,7288.5,7072.5,7121,16.289448469910564
1586293200,7121,7214.5,7081,7166,14.52724686985339
1586296800,7166,7197,7126.5,7167.5,13.685279214267204
1586300400,7167.5,7206,7161,7198.5,13.927219267642501
1586304000,7198.5,7209,7150.5,7153,13.21820629568335
1586307600,7153,7186,7152.5,7165,12.815849993907408
1586311200,7165,7277,7158,7261,19.455085551570985
1586314800,7261,7382.5,7261,7345,26.3870476067386
1586318400,7345,7368,7324.5,7348,25.380247523974294
1586322000,7348,7410,7326.5,7403.5,27.202031468138212
1586325600,7403.5,7417,7282.5,7315,24.140552504195632
1586329200,7315,7345,7299.5,7313.5,23.189730049039124
1586332800,7313.5,7327,7259.5,7286.5,21.816883500309178
1586336400,7286.5,7318.5,7268,7301.5,20.823641075807025
1586340000,7301.5,7336,7215,7249,18.634566673912307
1586343600,7249,7295,7235,7287,17.64406963921314
1586347200,7287,7338.5,7222.5,7271,19.62254644048829
1586350800,7271,7305,7196,7219,17.82521304967618
1586354400,7219,7267,7217.5,7266.5,17.06095503833595
1586358000,7266.5,7297.5,7260,7272,19.233198824798528
1586361600,7272,7329.5,7250.5,7321.5,20.74819206001092
1586365200,7321.5,7346.5,7293.5,7305,21.302496570418946
1586368800,7305,7329,7293.5,7317,20.576182010773152
1586372400,7317,7332,7264.5,7308.5,19.233385842563518
1586376000,7308.5,7358,7308.5,7315,20.86510118252145
1586379600,7315,7355,7285,7318,19.415860810067468
1586383200,7318,7374,7311,7353.5,20.093459531754227
1586386800,7353.5,7388,7341,7356.5,20.560999524151637
1586390400,7356.5,7364,7322.5,7343.5,19.659365540916134
1586394000,7343.5,7347.5,7286,7309,18.37351636147791
1586397600,7309,7320,7293.5,7318.5,17.83228497761722
1586401200,7318.5,7318.5,7257,7283,16.60947094028209
1586404800,7283,7291.5,7236.5,7285.5,15.580491204212944
1586408400,7285.5,7307,7270.5,7305.5,16.72038651459254
1586412000,7305.5,7317,7290,7309,17.384178495548472
1586415600,7309,7331,7282,7322,18.055665603443543
1586419200,7322,7344,7309,7327,18.898049895291877
1586422800,7327,7327,7291,7293,18.017252671581918
1586426400,7293,7309.5,7274,7304.5,17.167529831226194
1586430000,7304.5,7321,7143,7186.5,13.682985958278666
1586433600,7186.5,7300.5,7123,7300,11.234234768319197
1586437200,7300,7338,7274.5,7326,14.318734280852889
1586440800,7326,7342.5,7284.5,7318,13.927351357764481
1586444400,7318,7318.5,7255,7273.5,13.012044988769162
1586448000,7273.5,7291,7262.5,7277,12.611438126926126
1586451600,7277,7310.5,7273.5,7288,14.265917773394456
1586455200,7288,7288,7229.5,7248,13.329309174644
1586458800,7248,7269,7240,7259.5,12.877940260916098
1586462400,7259.5,7297.5,7238.5,7286,15.32484210084036
1586466000,7286,7304.5,7271,7301,15.550578218189518
1586469600,7301,7310,7281.5,7300,15.684733289198984
1586473200,7300,7304.5,7272.5,7282,15.033989405950164
1586476800,7282,7287,7251,7287,14.314465388579926
1586480400,7287,7287,7251.5,7262,13.622114707354209
1586484000,7262,7263,7207.5,7246,12.596355959621784
1586487600,7246,7246,7158,7175.5,11.161238473255896
1586491200,7175.5,7175.5,7083,7136.5,9.88621982098734
1586494800,7136.5,7137,6915.5,6962,7.636553004486246
1586498400,6962,6999,6933,6956,7.1168774195762685
1586502000,6956,6956,6866.5,6918,6.473537642983234
1586505600,6918,6966,6871.5,6918.5,6.856479281630293
1586509200,6918.5,6932,6854,6918,6.331874843838259
1586512800,6918,6946,6900,6931,7.44884342642757
1586516400,6931,6933.5,6890.5,6897.5,7.116831627787439
1586520000,6897.5,6923,6884.5,6917,6.823571269327579
1586523600,6917,6917,6811,6895,6.08064435491522
1586527200,6895,6905.5,6830,6850.5,5.611965736860626
1586530800,6850.5,6862,6741.5,6769.5,4.955465652120494
1586534400,6769.5,6860,6745,6858,4.423611853314207
1586538000,6858,6892.5,6839,6861.5,7.297673310614729
1586541600,6861.5,6916,6847.5,6910.5,9.07309181313012
1586545200,6910.5,6943,6855.5,6897,10.87959317288184
1586548800,6897,6908.5,6876,6906,10.530291993475636
1586552400,6906,6925,6880,6888.5,11.724383050046745
1586556000,6888.5,6912,6827.5,6853.5,10.732789718574573
1586559600,6853.5,6868.5,6816,6857,10.157962302845974
1586563200,6857,6905,6835,6901,13.156188531694346
1586566800,6901,6915.5,6878.5,6904,13.750798486235889
1586570400,6904,6914.5,6885.5,6904.5,13.311888296599559
1586574000,6904.5,6911,6891,6904,13.003620115065507
1586577600,6904,6938,6899,6907.5,15.611165811938347
1586581200,6907.5,6923.5,6896.5,6920.5,15.089439415357933
1586584800,6920.5,6928,6909.5,6918.5,15.31169447485779
1586588400,6918.5,6918.5,6855.5,6873.5,14.069860690732822
1586592000,6873.5,6890,6860,6873,13.508039735195952
1586595600,6873,6879.5,6830.5,6856,12.62153736200177
1586599200,6856,6863,6834.5,6839,12.123183624480149
1586602800,6839,6886.5,6835.5,6874.5,14.524189445160095
1586606400,6874.5,6883.5,6855,6870,13.931347659275888
1586610000,6870,6875,6844.5,6851,13.305432375172737
1586613600,6851,6851,6803,6815,12.363962985912211
1586617200,6815,6853.5,6811.5,6829.5,11.963186159137841
1586620800,6829.5,6852,6790.5,6810.5,10.889773405777413
1586624400,6810.5,6822,6766,6781.5,10.009104415355395
1586628000,6781.5,6825.5,6775,6810.5,9.784936761800886
1586631600,6810.5,6824.5,6786.5,6800.5,9.239704816122055
1586635200,6800.5,6800.5,6760,6780.5,8.68429452272186
1586638800,6780.5,6864.5,6768.5,6855.5,16.397861936349063
1586642400,6855.5,6874,6838,6859.5,16.907261018278884
1586646000,6859.5,6883.5,6848.5,6874.5,17.425971865000793
1586649600,6874.5,6906,6862.5,6867.5,19.60462003842473
1586653200,6867.5,6874.5,6838.5,6847,18.55421518485482
1586656800,6847,6849,6785,6818,16.828007146542728
1586660400,6818,6820.5,6803.5,6808,16.39176277514461
1586664000,6808,6816,6780,6815,15.476773828728973
1586667600,6815,6838,6807,6828,18.20787480162804
1586671200,6828,6833,6810.5,6819,17.533368033418324
1586674800,6819,6827,6808.5,6826,16.97650395224369
1586678400,6826,6834.5,6824.5,6828.5,18.02978595405409
1586682000,6828.5,6853.5,6827,6842,20.67313292677475
1586685600,6842,6843.5,6824.5,6828.5,19.915733737427885
1586689200,6828.5,6868.5,6828.5,6848,23.18164896939237
1586692800,6848,6921.5,6847.5,6905,29.602070726186717
1586696400,6905,6920,6883,6909.5,27.630115471941803
1586700000,6909.5,6993,6905,6958.5,35.69392109221503
1586703600,6958.5,7025.5,6955,7008.5,36.85625014435984
1586707200,7008.5,7138,7007,7137.5,45.812185108614
1586710800,7137.5,7170,7046.5,7093.5,42.698398390618976
1586714400,7093.5,7100,7065,7088.5,40.75237902587329
1586718000,7088.5,7141,7088.5,7105.5,43.3131303781531
1586721600,7105.5,7143.5,7068,7095,39.154815617244836
1586725200,7095,7109,7069.5,7104.5,37.145540980041645
1586728800,7104.5,7129.5,6952,7020,29.756038814684167
1586732400,7020,7028,6883,6901,25.324073207244783
1586736000,6901,6901,6557,6711.5,18.34364545475057
1586739600,6711.5,6729.5,6644,6685.5,17.083237837918823
1586743200,6685.5,6718,6652.5,6712,16.16678743196007
1586746800,6712,6712.5,6660,6669.5,15.451292941628397
1586750400,6669.5,6700,6634,6682,14.577829471099179
1586754000,6682,6703.5,6679,6687.5,14.571373886488963
1586757600,6687.5,6728,6680,6727,16.19613092141053
1586761200,6727,6727.5,6671,6693,15.33037806091955
1586764800,6693,6715,6683.5,6697,14.853658597636144
1586768400,6697,6700,6651,6677.5,14.118197861545225
1586772000,6677.5,6714,6677,6713,15.03627870619345
1586775600,6713,6825.5,6699,6774.5,24.155112290653836
1586779200,6774.5,6774.5,6656.5,6687,21.465424713737505
1586782800,6687,6717,6605.5,6614.5,19.280716286799485
1586786400,6614.5,6748.5,6605.5,6713,19.619307831425107
1586790000,6713,6796.5,6694.5,6761.5,21.99241798951455
1586793600,6761.5,6789.5,6727,6746,20.805077382699597
1586797200,6746,6774,6739.5,6744.5,20.158119344930462
1586800800,6744.5,6773.5,6744,6746,19.596963908736896
1586804400,6746,6795,6746,6771.5,20.748682297386768
1586808000,6771.5,6821.5,6770,6806.5,22.313331200290012
1586811600,6806.5,6875,6794.5,6822.5,25.800714772750567
1586815200,6822.5,6885.5,6801,6867,24.704269723371187
1586818800,6867,6885.5,6812,6834.5,22.94246079527044
1586822400,6834.5,6867.5,6808,6823.5,21.59955397551032
1586826000,6823.5,6848,6801.5,6844.5,20.58544013788989
1586829600,6844.5,6862.5,6840,6847,21.632852161202262
1586833200,6847,6893,6835.5,6874.5,23.56998920935937
1586836800,6874.5,6912,6872.5,6878,24.64037936445887
1586840400,6878,6890,6862,6881,23.846079367966116
1586844000,6881,6881,6850,6865.5,22.96348076660861
1586847600,6865.5,6885.5,6810,6817.5,20.931513007255916
1586851200,6817.5,6817.5,6752.5,6776,19.344475665533455
1586854800,6776,6845,6763,6840,20.669854192100164
1586858400,6840,6869.5,6816,6817,22.216940201860957
1586862000,6817,6862.5,6807.5,6823,20.79901681577878
1586865600,6823,6836,6793,6834,19.738371246912667
1586869200,6834,6884,6832.5,6880,24.27224609250427
1586872800,6880,6939,6848.5,6883.5,28.089468097883035
1586876400,6883.5,6925,6867,6902,26.19851548379959
1586880000,6902,6947,6874,6938,26.52783798824969
